ID,Prediction
1,5
2,6
3,5
4,8
5,7
6,0
7,0
8,3
9,3
10,2
11,1
12,1
13,2
14,9
15,7
16,1
17,8
18,0
19,9
20,2
21,1
22,7
23,6
24,7
25,5
26,5
27,4
28,0
29,2
30,3
31,0
32,5
33,6
34,3
35,5
36,3
37,5
38,0
39,8
40,6
41,5
42,7
43,6
44,1
45,8
46,9
47,4
48,6
49,8
50,8
51,4
52,0
53,9
54,2
55,2
56,3
57,8
58,1
59,4
60,4
61,6
62,9
63,6
64,0
65,7
66,4
67,2
68,8
69,5
70,6
71,3
72,5
73,4
74,1
75,2
76,5
77,8
78,3
79,1
80,2
81,9
82,6
83,3
84,1
85,7
86,0
87,7
88,3
89,1
90,0
91,8
92,5
93,4
94,6
95,4
96,8
97,1
98,0
99,9
100,9
101,2
102,8
103,7
104,7
105,2
106,4
107,1
108,7
109,4
110,9
111,8
112,8
113,9
114,5
115,4
116,1
117,0
118,1
119,4
120,6
121,8
122,3
123,1
124,0
125,7
126,3
127,1
128,2
129,0
130,0
131,8
132,1
133,2
134,4
135,3
136,4
137,5
138,4
139,0
140,3
141,0
142,5
143,3
144,1
145,7
146,1
147,0
148,1
149,8
150,8
151,9
152,6
153,3
154,3
155,3
156,6
157,1
158,5
159,2
160,3
161,7
162,4
163,5
164,9
165,3
166,1
167,0
168,1
169,2
170,3
171,0
172,3
173,1
174,6
175,0
176,2
177,8
178,8
179,0
180,3
181,1
182,5
183,7
184,3
185,1
186,7
187,7
188,1
189,9
190,8
191,5
192,3
193,1
194,5
195,2
196,1
197,3
198,5
199,6
200,2
201,2
202,4
203,2
204,3
205,6
206,8
207,2
208,7
209,2
210,0
211,5
212,7
213,0
214,7
215,0
216,6
217,5
218,7
219,0
220,4
221,4
222,1
223,0
224,2
225,3
226,8
227,0
228,4
229,1
230,6
231,1
232,0
233,4
234,8
235,4
236,4
237,8
238,1
239,9
240,0
241,6
242,5
243,3
244,1
245,1
246,8
247,4
248,4
249,0
250,4
251,8
252,6
253,7
254,3
255,9
256,3
257,1
258,7
259,8
260,3
261,8
262,1
263,5
264,9
265,7
266,3
267,7
268,1
269,7
270,3
271,2
272,9
273,2
274,8
275,1
276,8
277,0
278,7
279,1
280,6
281,4
282,7
283,5
284,7
285,4
286,0
287,8
288,0
289,0
290,7
291,8
292,6
293,6
294,7
295,1
296,0
297,3
298,2
299,0
300,3
301,2
302,0
303,5
304,1
305,0
306,8
307,6
308,9
309,9
310,1
311,1
312,1
313,1
314,5
315,7
316,6
317,1
318,1
319,6
320,3
321,8
322,4
323,8
324,0
325,8
326,0
327,7
328,5
329,8
330,7
331,7
332,0
333,9
334,2
335,9
336,9
337,3
338,3
339,4
340,6
341,4
342,1
343,8
344,0
345,3
346,9
347,3
348,7
349,9
350,1
351,2
352,5
353,2
354,2
355,1
356,5
357,9
358,8
359,1
360,9
361,2
362,3
363,9
364,4
365,0
366,4
367,0
368,2
369,6
370,5
371,0
372,4
373,7
374,7
375,0
376,1
377,9
378,4
379,5
380,6
381,1
382,5
383,5
384,8
385,9
386,0
387,8
388,8
389,8
390,0
391,7
392,4
393,7
394,1
395,4
396,0
397,1
398,2
399,7
400,9
401,6
402,2
403,2
404,2
405,7
406,0
407,1
408,9
409,3
410,2
411,5
412,9
413,9
414,2
415,7
416,9
417,3
418,1
419,0
420,3
421,4
422,0
423,6
424,9
425,6
426,1
427,7
428,9
429,7
430,7
431,4
432,1
433,6
434,7
435,3
436,4
437,5
438,2
439,3
440,3
441,4
442,5
443,1
444,3
